[Main]
Experiment = "IvsV"
Header length = 54    
Date = "20190903 13:46:14"
Comments = "SD: 1Vb to 2V-, BG: 2Va to 2V-, volt1: 1I- to 2I+, volt2: 1V- to 2Vb"

[System]
System = "PPMS"
Magnet stability range (G) = 5.000000E+1
Magnet check interval (s) = 1.000000E+0
Magnet approach mode = "Linear Approach"
Magnet mode = "Persistent"
Temperature stability time (s) = 1.000000E+0
Temperature approach mode = "Fast Settle"

[Dynamic Gate Voltage]
Pattern = "Linear+Reveresed"
Cycles = 1
Initial gate voltage (V) = -7.500000E+1
Final gate voltage (V) = 7.500000E+1
Measurement interval (V) = 2.500000E+1
Ramp step (V) = 1.000000E-1
Ramp delay (s) = 1.000000
Pre-measurement Delay = 3.000000E+2
Leak current measurement threshold = 1.000000
Check compliance = TRUE
Gate voltage source type = "Keithley 2400"
GPIB = "GPIB0::16::INSTR"
Gate leak limit (A) = 1.000000E-6
Autorange = TRUE
Number of current measurements = 30
Speed = 1.000000
Set finish gate voltage = TRUE
Finish gate voltage (V) = 0.000000E+0
Finish gate ramp step (V) = 1.000000E-1
Finish gate ramp delay (s) = 1.000000E+0

[Dynamic Voltage]
Voltage source = "Keithley 6430"
GPIB = "GPIB0::9::INSTR"
Initial Voltage (V) = 0.000000E+0
Final Voltage (V) = 10.000000E+0
Voltage step (V) = 200.000000E-3
Number of measurement sequences = 1.000000E+0
Samples/sequence = 30.000000E+0
Pre-measuement delay (s) = 1.000000E+0
Current limit (A) = 100.000000E-6
Auto-range = TRUE
Manual range (V) = 10.000000E+0
Measurement Type = "Static"
Pattern = "Linear"
Check compliance = TRUE
Measurement Speed = 1.000000
Time (s)	Gate Voltage (V)	Gate Leak Current (A)	Voltage 1 (V)	Current (A)	STD_Current (A)	Resistance 1 (Ohms)	STD_Resistance 1 (Ohms)	di/dv (A/V)	Voltage 2 (V)	Voltage 3 (V)	STD_Voltage 2 (V)	STD_Voltage 3 (V)	Resistance 2 (Ohms)	Resistance 3 (Ohms)	STD_Resistance 2 (Ohms)	STD_Resistance 3 (Ohms)
4.053444552E+3	0.000000000E+0	-56.320694086E-12	0.000000000E+0	-437.407958333E-12	392.730274813E-12	-0.000000000E+0	0.000000000E+0	NaN	-5.442338699E-3	-4.145431171E-3	207.490454555E-6	279.162184137E-6	12.442248925E+6	9.477265085E+6	474.363693211E+3	638.219261490E+3
4.065664438E+3	0.000000000E+0	-43.263640153E-12	200.000002980E-3	25.304192000E-9	442.983826041E-12	7.903828859E+6	138.367127007E+3	128.707997874E-9	47.032180267E-3	61.308225147E-3	406.997385571E-6	613.743754090E-6	1.858671491E+6	2.422848560E+6	16.084188168E+3	24.254627616E+3
4.072795856E+3	0.000000000E+0	-48.887471039E-12	400.000005960E-3	47.131899000E-9	318.036028152E-12	8.486821334E+6	57.267264975E+3	109.138533374E-9	109.337424400E-3	125.478658433E-3	829.369755783E-6	867.010719037E-6	2.319817931E+6	2.662287349E+6	17.596782081E+3	18.395412394E+3
4.079642992E+3	0.000000000E+0	-48.404745316E-12	600.000023842E-3	65.744175000E-9	437.307560078E-12	9.126284174E+6	60.704892331E+3	93.061371680E-9	171.959343667E-3	186.601104767E-3	980.403441716E-6	1.098812366E-3	2.615582957E+6	2.838291069E+6	14.912400098E+3	16.713455853E+3
4.087716487E+3	0.000000000E+0	-47.712503740E-12	800.000011921E-3	82.180090333E-9	1.147391372E-9	9.734718089E+6	135.915298979E+3	82.179581565E-9	242.349247267E-3	253.865138767E-3	1.738886574E-3	1.685905423E-3	2.949001958E+6	3.089131902E+6	21.159462923E+3	20.514767221E+3
4.096897464E+3	0.000000000E+0	-54.048791947E-12	1.000000000E+0	97.288762667E-9	1.098642537E-9	10.278679393E+6	116.072957388E+3	75.543366169E-9	319.708130433E-3	318.705349033E-3	2.044697650E-3	2.050589102E-3	3.286177372E+6	3.275870104E+6	21.016791598E+3	21.077347951E+3
4.107404766E+3	0.000000000E+0	-51.748912967E-12	1.200000048E+0	109.544483333E-9	639.793525467E-12	10.954454402E+6	63.979387992E+3	61.278588723E-9	391.852868300E-3	381.868871567E-3	1.810161893E-3	1.424066800E-3	3.577111840E+6	3.485970812E+6	16.524445942E+3	12.999895169E+3
4.114259883E+3	0.000000000E+0	-52.082518911E-12	1.399999976E+0	121.249463333E-9	593.949689895E-12	11.546442662E+6	56.561124890E+3	58.524920930E-9	470.390799200E-3	453.989279267E-3	2.954100594E-3	2.982196619E-3	3.879528917E+6	3.744258051E+6	24.363824074E+3	24.595544898E+3
4.121109519E+3	0.000000000E+0	-51.807585999E-12	1.600000024E+0	132.544463333E-9	680.650423458E-12	12.071421043E+6	61.989898621E+3	56.474986535E-9	542.083919300E-3	522.740806367E-3	3.252724742E-3	1.934390347E-3	4.089826958E+6	3.943890173E+6	24.540630818E+3	14.594274998E+3
4.127953958E+3	0.000000000E+0	-54.600319491E-12	1.799999952E+0	141.347636667E-9	641.671898910E-12	12.734559946E+6	57.810724359E+3	44.015882408E-9	613.783379000E-3	583.999300367E-3	4.644531402E-3	2.258471030E-3	4.342367467E+6	4.131652387E+6	32.858925068E+3	15.978130819E+3
